name,year,rate,code
ADANA,1990,0,1
ADIYAMAN,1990,0,2
AFYONKARAHISAR,1990,3,3
AGRI,1990,0,4
AKSARAY,1990,0,5
AMASYA,1990,0,6
ANKARA,1990,2,7
ANTALYA,1990,5,8
ARDAHAN,1990,0,9
ARTVIN,1990,0,10
AYDIN,1990,3,11
BALIKESIR,1990,43,12
BARTIN,1990,0,13
BATMAN,1990,0,14
BAYBURT,1990,0,15
BILECIK,1990,1,16
BINGOL,1990,0,17
BITLIS,1990,0,18
BOLU,1990,1,19
BURDUR,1990,33,20
BURSA,1990,36,21
CANAKKALE,1990,15,22
CANKIRI,1990,0,23
CORUM,1990,0,24
DENIZLI,1990,8,25
DIYARBAKIR,1990,1,26
DUZCE,1990,0,27
EDIRNE,1990,1,28
ELAZIG,1990,0,29
ERZINCAN,1990,2,30
ERZURUM,1990,0,31
ESKISEHIR,1990,4,32
GAZIANTEP,1990,0,33
GIRESUN,1990,0,34
GUMUSHANE,1990,1,35
HAKKARI,1990,0,36
HATAY,1990,0,37
IGDIR,1990,0,38
ISPARTA,1990,2,39
ISTANBUL,1990,15,40
IZMIR,1990,25,41
KAHRAMANMARAS,1990,1,42
KARABUK,1990,0,43
KARAMAN,1990,0,44
KARS,1990,0,45
KASTAMONU,1990,0,46
KAYSERI,1990,0,47
KILIS,1990,0,48
KIRIKKALE,1990,2,49
KIRKLARELI,1990,1,50
KIRSEHIR,1990,0,51
KOCAELI,1990,16,52
KONYA,1990,0,53
KUTAHYA,1990,28,54
MALATYA,1990,0,55
MANISA,1990,162,56
MARDIN,1990,0,57
MERSIN,1990,1,58
MUGLA,1990,11,59
MUS,1990,0,60
NEVSEHIR,1990,0,61
NIGDE,1990,0,62
ORDU,1990,0,63
OSMANIYE,1990,0,64
RIZE,1990,0,65
SAKARYA,1990,6,66
SAMSUN,1990,0,67
SANLIURFA,1990,0,68
SIIRT,1990,0,69
SINOP,1990,0,70
SIRNAK,1990,0,71
SIVAS,1990,0,72
TEKIRDAG,1990,0,73
TOKAT,1990,0,74
TRABZON,1990,0,75
TUNCELI,1990,0,76
USAK,1990,0,77
VAN,1990,0,78
YALOVA,1990,3,79
YOZGAT,1990,0,80
ZONGULDAK,1990,0,81
ADANA,1991,2,82
ADIYAMAN,1991,0,83
AFYONKARAHISAR,1991,15,84
AGRI,1991,0,85
AKSARAY,1991,0,86
AMASYA,1991,0,87
ANKARA,1991,1,88
ANTALYA,1991,7,89
ARDAHAN,1991,0,90
ARTVIN,1991,0,91
AYDIN,1991,5,92
BALIKESIR,1991,69,93
BARTIN,1991,0,94
BATMAN,1991,0,95
BAYBURT,1991,0,96
BILECIK,1991,3,97
BINGOL,1991,0,98
BITLIS,1991,0,99
BOLU,1991,0,100
BURDUR,1991,74,101
BURSA,1991,53,102
CANAKKALE,1991,17,103
CANKIRI,1991,2,104
CORUM,1991,0,105
DENIZLI,1991,23,106
DIYARBAKIR,1991,0,107
DUZCE,1991,0,108
EDIRNE,1991,1,109
ELAZIG,1991,0,110
ERZINCAN,1991,0,111
ERZURUM,1991,2,112
ESKISEHIR,1991,4,113
GAZIANTEP,1991,0,114
GIRESUN,1991,0,115
GUMUSHANE,1991,0,116
HAKKARI,1991,0,117
HATAY,1991,0,118
IGDIR,1991,0,119
ISPARTA,1991,1,120
ISTANBUL,1991,43,121
IZMIR,1991,28,122
KAHRAMANMARAS,1991,1,123
KARABUK,1991,0,124
KARAMAN,1991,0,125
KARS,1991,4,126
KASTAMONU,1991,0,127
KAYSERI,1991,1,128
KILIS,1991,0,129
KIRIKKALE,1991,1,130
KIRKLARELI,1991,1,131
KIRSEHIR,1991,0,132
KOCAELI,1991,29,133
KONYA,1991,6,134
KUTAHYA,1991,65,135
MALATYA,1991,0,136
MANISA,1991,167,137
MARDIN,1991,0,138
MERSIN,1991,1,139
MUGLA,1991,13,140
MUS,1991,1,141
NEVSEHIR,1991,0,142
NIGDE,1991,0,143
ORDU,1991,0,144
OSMANIYE,1991,2,145
RIZE,1991,0,146
SAKARYA,1991,7,147
SAMSUN,1991,0,148
SANLIURFA,1991,0,149
SIIRT,1991,0,150
SINOP,1991,0,151
SIRNAK,1991,1,152
SIVAS,1991,0,153
TEKIRDAG,1991,0,154
TOKAT,1991,0,155
TRABZON,1991,0,156
TUNCELI,1991,0,157
USAK,1991,5,158
VAN,1991,0,159
YALOVA,1991,16,160
YOZGAT,1991,0,161
ZONGULDAK,1991,0,162
ADANA,1992,1,163
ADIYAMAN,1992,0,164
AFYONKARAHISAR,1992,12,165
AGRI,1992,0,166
AKSARAY,1992,0,167
AMASYA,1992,3,168
ANKARA,1992,3,169
ANTALYA,1992,8,170
ARDAHAN,1992,0,171
ARTVIN,1992,0,172
AYDIN,1992,3,173
BALIKESIR,1992,55,174
BARTIN,1992,0,175
BATMAN,1992,0,176
BAYBURT,1992,1,177
BILECIK,1992,4,178
BINGOL,1992,1,179
BITLIS,1992,0,180
BOLU,1992,4,181
BURDUR,1992,2,182
BURSA,1992,25,183
CANAKKALE,1992,4,184
CANKIRI,1992,1,185
CORUM,1992,0,186
DENIZLI,1992,7,187
DIYARBAKIR,1992,0,188
DUZCE,1992,1,189
EDIRNE,1992,0,190
ELAZIG,1992,1,191
ERZINCAN,1992,8,192
ERZURUM,1992,2,193
ESKISEHIR,1992,4,194
GAZIANTEP,1992,1,195
GIRESUN,1992,0,196
GUMUSHANE,1992,0,197
HAKKARI,1992,0,198
HATAY,1992,0,199
IGDIR,1992,0,200
ISPARTA,1992,3,201
ISTANBUL,1992,5,202
IZMIR,1992,76,203
KAHRAMANMARAS,1992,1,204
KARABUK,1992,0,205
KARAMAN,1992,0,206
KARS,1992,0,207
KASTAMONU,1992,1,208
KAYSERI,1992,2,209
KILIS,1992,0,210
KIRIKKALE,1992,1,211
KIRKLARELI,1992,0,212
KIRSEHIR,1992,0,213
KOCAELI,1992,6,214
KONYA,1992,1,215
KUTAHYA,1992,70,216
MALATYA,1992,3,217
MANISA,1992,42,218
MARDIN,1992,0,219
MERSIN,1992,1,220
MUGLA,1992,14,221
MUS,1992,0,222
NEVSEHIR,1992,0,223
NIGDE,1992,0,224
ORDU,1992,0,225
OSMANIYE,1992,1,226
RIZE,1992,0,227
SAKARYA,1992,8,228
SAMSUN,1992,2,229
SANLIURFA,1992,0,230
SIIRT,1992,0,231
SINOP,1992,1,232
SIRNAK,1992,0,233
SIVAS,1992,1,234
TEKIRDAG,1992,0,235
TOKAT,1992,0,236
TRABZON,1992,1,237
TUNCELI,1992,4,238
USAK,1992,1,239
VAN,1992,0,240
YALOVA,1992,0,241
YOZGAT,1992,1,242
ZONGULDAK,1992,2,243
ADANA,1993,0,244
ADIYAMAN,1993,2,245
AFYONKARAHISAR,1993,23,246
AGRI,1993,0,247
AKSARAY,1993,0,248
AMASYA,1993,1,249
ANKARA,1993,4,250
ANTALYA,1993,13,251
ARDAHAN,1993,0,252
ARTVIN,1993,0,253
AYDIN,1993,3,254
BALIKESIR,1993,149,255
BARTIN,1993,0,256
BATMAN,1993,0,257
BAYBURT,1993,0,258
BILECIK,1993,6,259
BINGOL,1993,1,260
BITLIS,1993,0,261
BOLU,1993,4,262
BURDUR,1993,9,263
BURSA,1993,142,264
CANAKKALE,1993,46,265
CANKIRI,1993,2,266
CORUM,1993,5,267
DENIZLI,1993,25,268
DIYARBAKIR,1993,1,269
DUZCE,1993,0,270
EDIRNE,1993,0,271
ELAZIG,1993,0,272
ERZINCAN,1993,1,273
ERZURUM,1993,2,274
ESKISEHIR,1993,2,275
GAZIANTEP,1993,1,276
GIRESUN,1993,0,277
GUMUSHANE,1993,0,278
HAKKARI,1993,0,279
HATAY,1993,0,280
IGDIR,1993,0,281
ISPARTA,1993,10,282
ISTANBUL,1993,66,283
IZMIR,1993,111,284
KAHRAMANMARAS,1993,1,285
KARABUK,1993,0,286
KARAMAN,1993,1,287
KARS,1993,1,288
KASTAMONU,1993,1,289
KAYSERI,1993,0,290
KILIS,1993,0,291
KIRIKKALE,1993,0,292
KIRKLARELI,1993,11,293
KIRSEHIR,1993,0,294
KOCAELI,1993,28,295
KONYA,1993,0,296
KUTAHYA,1993,392,297
MALATYA,1993,0,298
MANISA,1993,855,299
MARDIN,1993,0,300
MERSIN,1993,0,301
MUGLA,1993,27,302
MUS,1993,0,303
NEVSEHIR,1993,0,304
NIGDE,1993,0,305
ORDU,1993,0,306
OSMANIYE,1993,1,307
RIZE,1993,0,308
SAKARYA,1993,19,309
SAMSUN,1993,1,310
SANLIURFA,1993,1,311
SIIRT,1993,0,312
SINOP,1993,0,313
SIRNAK,1993,0,314
SIVAS,1993,3,315
TEKIRDAG,1993,2,316
TOKAT,1993,4,317
TRABZON,1993,0,318
TUNCELI,1993,1,319
USAK,1993,12,320
VAN,1993,0,321
YALOVA,1993,11,322
YOZGAT,1993,1,323
ZONGULDAK,1993,0,324
ADANA,1994,3,325
ADIYAMAN,1994,0,326
AFYONKARAHISAR,1994,22,327
AGRI,1994,0,328
AKSARAY,1994,1,329
AMASYA,1994,0,330
ANKARA,1994,5,331
ANTALYA,1994,5,332
ARDAHAN,1994,0,333
