cityname,year,earthquake
ADANA,1990,0
ADIYAMAN,1990,0
AFYONKARAHISAR,1990,3
AGRI,1990,0
AKSARAY,1990,0
AMASYA,1990,0
ANKARA,1990,2
ANTALYA,1990,5
ARDAHAN,1990,0
ARTVIN,1990,0
AYDIN,1990,3
BALIKESIR,1990,43
BARTIN,1990,0
BATMAN,1990,0
BAYBURT,1990,0
BILECIK,1990,1
BINGOL,1990,0
BITLIS,1990,0
BOLU,1990,1
BURDUR,1990,33
BURSA,1990,36
CANAKKALE,1990,15
CANKIRI,1990,0
CORUM,1990,0
DENIZLI,1990,8
DIYARBAKIR,1990,1
DUZCE,1990,0
EDIRNE,1990,1
ELAZIG,1990,0
ERZINCAN,1990,2
ERZURUM,1990,0
ESKISEHIR,1990,4
GAZIANTEP,1990,0
GIRESUN,1990,0
GUMUSHANE,1990,1
HAKKARI,1990,0
HATAY,1990,0
IGDIR,1990,0
ISPARTA,1990,2
ISTANBUL,1990,15
IZMIR,1990,25
KAHRAMANMARAS,1990,1
KARABUK,1990,0
KARAMAN,1990,0
KARS,1990,0
KASTAMONU,1990,0
KAYSERI,1990,0
KILIS,1990,0
KIRIKKALE,1990,2
KIRKLARELI,1990,1
KIRSEHIR,1990,0
KOCAELI,1990,16
KONYA,1990,0
KUTAHYA,1990,28
MALATYA,1990,0
MANISA,1990,162
MARDIN,1990,0
MERSIN,1990,1
MUGLA,1990,11
MUS,1990,0
NEVSEHIR,1990,0
NIGDE,1990,0
ORDU,1990,0
OSMANIYE,1990,0
RIZE,1990,0
SAKARYA,1990,6
SAMSUN,1990,0
SANLIURFA,1990,0
SIIRT,1990,0
SINOP,1990,0
SIRNAK,1990,0
SIVAS,1990,0
TEKIRDAG,1990,0
TOKAT,1990,0
TRABZON,1990,0
TUNCELI,1990,0
USAK,1990,0
VAN,1990,0
YALOVA,1990,3
YOZGAT,1990,0
ZONGULDAK,1990,0
ADANA,1991,2
ADIYAMAN,1991,0
AFYONKARAHISAR,1991,15
AGRI,1991,0
AKSARAY,1991,0
AMASYA,1991,0
ANKARA,1991,1
ANTALYA,1991,7
ARDAHAN,1991,0
ARTVIN,1991,0
AYDIN,1991,5
BALIKESIR,1991,69
BARTIN,1991,0
BATMAN,1991,0
BAYBURT,1991,0
BILECIK,1991,3
BINGOL,1991,0
BITLIS,1991,0
BOLU,1991,0
BURDUR,1991,74
BURSA,1991,53
CANAKKALE,1991,17
CANKIRI,1991,2
CORUM,1991,0
DENIZLI,1991,23
DIYARBAKIR,1991,0
DUZCE,1991,0
EDIRNE,1991,1
ELAZIG,1991,0
ERZINCAN,1991,0
ERZURUM,1991,2
ESKISEHIR,1991,4
GAZIANTEP,1991,0
GIRESUN,1991,0
GUMUSHANE,1991,0
HAKKARI,1991,0
HATAY,1991,0
IGDIR,1991,0
ISPARTA,1991,1
ISTANBUL,1991,43
IZMIR,1991,28
KAHRAMANMARAS,1991,1
KARABUK,1991,0
KARAMAN,1991,0
KARS,1991,4
KASTAMONU,1991,0
KAYSERI,1991,1
KILIS,1991,0
KIRIKKALE,1991,1
KIRKLARELI,1991,1
KIRSEHIR,1991,0
KOCAELI,1991,29
KONYA,1991,6
KUTAHYA,1991,65
MALATYA,1991,0
MANISA,1991,167
MARDIN,1991,0
MERSIN,1991,1
MUGLA,1991,13
MUS,1991,1
NEVSEHIR,1991,0
NIGDE,1991,0
ORDU,1991,0
OSMANIYE,1991,2
RIZE,1991,0
SAKARYA,1991,7
SAMSUN,1991,0
SANLIURFA,1991,0
SIIRT,1991,0
SINOP,1991,0
SIRNAK,1991,1
SIVAS,1991,0
TEKIRDAG,1991,0
TOKAT,1991,0
TRABZON,1991,0
TUNCELI,1991,0
USAK,1991,5
VAN,1991,0
YALOVA,1991,16
YOZGAT,1991,0
ZONGULDAK,1991,0
ADANA,1992,1
ADIYAMAN,1992,0
AFYONKARAHISAR,1992,12
AGRI,1992,0
AKSARAY,1992,0
AMASYA,1992,3
ANKARA,1992,3
ANTALYA,1992,8
ARDAHAN,1992,0
ARTVIN,1992,0
AYDIN,1992,3
BALIKESIR,1992,55
BARTIN,1992,0
BATMAN,1992,0
BAYBURT,1992,1
BILECIK,1992,4
BINGOL,1992,1
BITLIS,1992,0
BOLU,1992,4
BURDUR,1992,2
BURSA,1992,25
CANAKKALE,1992,4
CANKIRI,1992,1
CORUM,1992,0
DENIZLI,1992,7
DIYARBAKIR,1992,0
DUZCE,1992,1
EDIRNE,1992,0
ELAZIG,1992,1
ERZINCAN,1992,8
ERZURUM,1992,2
ESKISEHIR,1992,4
GAZIANTEP,1992,1
GIRESUN,1992,0
GUMUSHANE,1992,0
HAKKARI,1992,0
HATAY,1992,0
IGDIR,1992,0
ISPARTA,1992,3
ISTANBUL,1992,5
IZMIR,1992,76
KAHRAMANMARAS,1992,1
KARABUK,1992,0
KARAMAN,1992,0
KARS,1992,0
KASTAMONU,1992,1
KAYSERI,1992,2
KILIS,1992,0
KIRIKKALE,1992,1
KIRKLARELI,1992,0
KIRSEHIR,1992,0
KOCAELI,1992,6
KONYA,1992,1
KUTAHYA,1992,70
MALATYA,1992,3
MANISA,1992,42
MARDIN,1992,0
MERSIN,1992,1
MUGLA,1992,14
MUS,1992,0
NEVSEHIR,1992,0
NIGDE,1992,0
ORDU,1992,0
OSMANIYE,1992,1
RIZE,1992,0
SAKARYA,1992,8
SAMSUN,1992,2
SANLIURFA,1992,0
SIIRT,1992,0
SINOP,1992,1
SIRNAK,1992,0
SIVAS,1992,1
TEKIRDAG,1992,0
TOKAT,1992,0
TRABZON,1992,1
TUNCELI,1992,4
USAK,1992,1
VAN,1992,0
YALOVA,1992,0
YOZGAT,1992,1
ZONGULDAK,1992,2
ADANA,1993,0
ADIYAMAN,1993,2
AFYONKARAHISAR,1993,23
AGRI,1993,0
AKSARAY,1993,0
AMASYA,1993,1
ANKARA,1993,4
ANTALYA,1993,13
ARDAHAN,1993,0
ARTVIN,1993,0
AYDIN,1993,3
BALIKESIR,1993,149
BARTIN,1993,0
BATMAN,1993,0
BAYBURT,1993,0
BILECIK,1993,6
BINGOL,1993,1
BITLIS,1993,0
BOLU,1993,4
BURDUR,1993,9
BURSA,1993,142
CANAKKALE,1993,46
CANKIRI,1993,2
CORUM,1993,5
DENIZLI,1993,25
DIYARBAKIR,1993,1
DUZCE,1993,0
EDIRNE,1993,0
ELAZIG,1993,0
ERZINCAN,1993,1
ERZURUM,1993,2
ESKISEHIR,1993,2
GAZIANTEP,1993,1
GIRESUN,1993,0
GUMUSHANE,1993,0
HAKKARI,1993,0
HATAY,1993,0
IGDIR,1993,0
ISPARTA,1993,10
ISTANBUL,1993,66
IZMIR,1993,111
KAHRAMANMARAS,1993,1
KARABUK,1993,0
KARAMAN,1993,1
KARS,1993,1
KASTAMONU,1993,1
KAYSERI,1993,0
KILIS,1993,0
KIRIKKALE,1993,0
KIRKLARELI,1993,11
KIRSEHIR,1993,0
KOCAELI,1993,28
KONYA,1993,0
KUTAHYA,1993,392
MALATYA,1993,0
MANISA,1993,855
MARDIN,1993,0
MERSIN,1993,0
MUGLA,1993,27
MUS,1993,0
NEVSEHIR,1993,0
NIGDE,1993,0
ORDU,1993,0
OSMANIYE,1993,1
RIZE,1993,0
SAKARYA,1993,19
SAMSUN,1993,1
SANLIURFA,1993,1
SIIRT,1993,0
SINOP,1993,0
SIRNAK,1993,0
SIVAS,1993,3
TEKIRDAG,1993,2
TOKAT,1993,4
TRABZON,1993,0
TUNCELI,1993,1
USAK,1993,12
VAN,1993,0
YALOVA,1993,11
YOZGAT,1993,1
ZONGULDAK,1993,0
ADANA,1994,3
ADIYAMAN,1994,0
AFYONKARAHISAR,1994,22
AGRI,1994,0
AKSARAY,1994,1
AMASYA,1994,0
ANKARA,1994,5
ANTALYA,1994,5
ARDAHAN,1994,0
ARTVIN,1994,0
AYDIN,1994,5
BALIKESIR,1994,163
BARTIN,1994,0
BATMAN,1994,0
BAYBURT,1994,1
BILECIK,1994,10
BINGOL,1994,2
BITLIS,1994,0
BOLU,1994,1
